央视频道,#genre#
江苏卫视,http://222.185.98.96:888/rtp/239.49.0.16:8120
江西卫视,http://101.66.199.251:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://101.66.195.105:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://171.14.89.243:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://123.52.14.64:9901/tsfile/live/0138_1.m3u8?key=txiptv
江西卫视,http://119.130.241.9:9901/tsfile/live/0138_1.m3u8?key=txiptv
江西卫视,http://123.174.106.183:8888/rtp/239.1.1.52:8052
江西卫视,http://114.222.251.120:4023/rtp/239.49.8.111:8000
江西卫视,http://220.169.100.41:10087/rtp/239.76.252.225:9000
江西卫视,http://171.109.20.22:4566/rtp/239.81.0.204:4056
江西卫视,http://222.185.98.96:888/rtp/239.49.1.47:6000
江西卫视,http://222.185.98.96:888/rtp/239.49.0.63:8496
江西少儿,http://218.87.237.106:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
江西少儿,http://218.87.237.105:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
江西少儿,http://218.87.237.105:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
江西教育,http://218.87.237.106:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
江西教育,http://218.87.237.105:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
江西新闻,http://218.87.237.105:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
江西新闻,http://218.87.237.106:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
江西经济生活,http://218.87.237.105:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=0&authid=0
江西经济生活,http://218.87.237.105:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=0&authid=0
江西经济生活,http://218.87.237.106:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=0&authid=0
江西都市,http://218.87.237.106:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=0&authid=0
江西都市,http://218.87.237.105:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=0&authid=0
河北农民,http://101.74.28.209:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://101.66.195.105:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://101.66.199.251:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://125.43.244.1:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://123.52.14.64:9901/tsfile/live/0117_1.m3u8?key=txiptv
河北卫视,http://123.174.106.183:8888/rtp/239.1.1.48:8048
河北卫视,http://222.185.98.96:888/rtp/239.49.1.236:6000
